                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	               HCO3-	             a_HCO3-	
  9.346285092010e-05	  7.799450872627e-05	  8.921574256888e-04	  1.753377980984e-03	  9.690398141249e+00	  2.153697017276e-10	 -5.473110194073e+00	  0.000000000000e+00	  1.763202928499e-05	  6.455323501690e-05	  6.094964352197e-05	
  9.180127574964e-05	  8.356508341966e-05	  8.630771768671e-04	  1.709681788096e-03	  9.687307699435e+00	  2.167849400582e-10	 -5.333733485905e+00	  0.000000000000e+00	  1.723837348134e-05	  6.368359702082e-05	  6.016664462808e-05	
  9.180127574964e-05	  8.356508341966e-05	  8.630771768671e-04	  1.709681788096e-03	  9.687307699435e+00	  2.167849400582e-10	 -5.336209025576e+00	  0.000000000000e+00	  1.723837348134e-05	  6.368359702081e-05	  6.016664462808e-05	
  9.007024810625e-05	  9.009522207546e-05	  8.305514748020e-04	  1.661152721921e-03	  9.684200121849e+00	  2.182026279685e-10	 -5.251052019795e+00	  0.000000000000e+00	  1.683387419921e-05	  6.276971343548e-05	  5.934544853621e-05	
  9.007024810625e-05	  9.009522207547e-05	  8.305514748020e-04	  1.661152721921e-03	  9.684200121849e+00	  2.182026279685e-10	 -5.252366428480e+00	  0.000000000000e+00	  1.683387419921e-05	  6.276971343548e-05	  5.934544853621e-05	
  8.830521673819e-05	  9.769891436223e-05	  7.945088572883e-04	  1.607804939899e-03	  9.681203103003e+00	  2.195575168080e-10	 -5.268100785872e+00	  0.000000000000e+00	  1.642846135930e-05	  6.182908667637e-05	  5.850249474996e-05	
  8.830521673819e-05	  9.769891436223e-05	  7.945088572883e-04	  1.607804939899e-03	  9.681203103003e+00	  2.195575168080e-10	 -5.268247702957e+00	  0.000000000000e+00	  1.642846135930e-05	  6.182908667637e-05	  5.850249474996e-05	
  8.654724753049e-05	  1.064948032893e-04	  7.549294234643e-04	  1.549753794561e-03	  9.678472225470e+00	  2.207688007563e-10	 -4.537045198813e+00	  0.000000000000e+00	  1.603341503092e-05	  6.088266439200e-05	  5.765745529192e-05	
  8.654724753049e-05	  1.064948032893e-04	  7.549294234643e-04	  1.549753794561e-03	  9.678472225470e+00	  2.207688007563e-10	 -4.483917474345e+00	  0.000000000000e+00	  1.603341503092e-05	  6.088266439200e-05	  5.765745529192e-05	
  8.484225461120e-05	  1.166064091013e-04	  7.118464929436e-04	  1.487221137361e-03	  9.676191227671e+00	  2.217399850777e-10	 -5.219320139548e+00	  0.000000000000e+00	  1.566116307888e-05	  5.995454598497e-05	  5.683298112521e-05	
  8.484225461120e-05	  1.166064091013e-04	  7.118464929436e-04	  1.487221137361e-03	  9.676191227671e+00	  2.217399850777e-10	 -5.219715805259e+00	  0.000000000000e+00	  1.566116307888e-05	  5.995454598497e-05	  5.683298112521e-05	
